,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.010415077209472656,0.005213419596354167,0.9404109589041096,0.9630154485974143,True,balanced,gini,5,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",37,0.9363449691991786,0.9609455292908531,0.9301848049281314,0.9701952723535457,0.9547325102880658,0.9579055441478439,0.007364571723972412,0.00737288869950573,0.010424575336742712,0.005226393230151608
1,0.03125301996866862,0.0,0.9438356164383561,0.9660965859169514,True,balanced,gini,5,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 20}",31,0.9404517453798767,0.9619732785200411,0.9342915811088296,0.9722507708119219,0.9567901234567902,0.9640657084188912,8.104673248279548e-07,0.0,0.009490324700106523,0.004434716038373658
2,0.03644847869873047,0.010417302449544271,0.939041095890411,0.9640428460985978,True,balanced,gini,5,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 30}",40,0.9363449691991786,0.9630010277492291,0.9322381930184805,0.9701952723535457,0.948559670781893,0.9589322381930184,0.007347039996695064,0.0073661452268945285,0.006929752704420368,0.004656753069833975
3,0.06250937779744466,0.0,0.9472602739726027,0.9650674297757452,True,balanced,gini,5,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 40}",29,0.9383983572895277,0.9640287769784173,0.946611909650924,0.9630010277492291,0.9567901234567902,0.9681724845995893,3.6643797185893074e-06,0.0,0.00752111792586507,0.002235336099088469
4,0.06250659624735515,0.005209207534790039,0.9424657534246575,0.966438817265343,True,balanced,gini,5,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",35,0.9383983572895277,0.9609455292908531,0.9342915811088296,0.9732785200411099,0.9547325102880658,0.9650924024640657,2.247831920581015e-07,0.00736693194491619,0.008825816240160043,0.0051241447952677256
5,0.01562650998433431,0.005208810170491536,0.9534246575342465,0.9900682563365558,True,balanced,gini,10,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}",8,0.946611909650924,0.987667009249743,0.9486652977412731,0.9917780061664954,0.9650205761316872,0.9907597535934292,4.052336624139774e-07,0.007366369986936045,0.008233943429913047,0.001748084714687143
6,0.03125333786010742,0.0052089691162109375,0.9527397260273973,0.9928085692197196,True,balanced,gini,10,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 20}",10,0.9425051334702259,0.9938335046248715,0.9548254620123203,0.9928057553956835,0.9609053497942387,0.9917864476386037,3.371747880871523e-07,0.0073665947701281025,0.007654148680886226,0.0008357098836563117
7,0.046879847844441734,0.010417779286702475,0.958904109589041,0.99143858864214,True,balanced,gini,10,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 30}",1,0.9527720739219713,0.9938335046248715,0.9568788501026694,0.9897225077081192,0.9670781893004116,0.9907597535934292,2.9736021254650284e-07,0.007366482381104238,0.0060126575492407686,0.001745601458887531
8,0.05731097857157389,0.005208810170491536,0.952054794520548,0.9917815234465405,True,balanced,gini,10,40,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 40}",11,0.9404517453798767,0.9938335046248715,0.946611909650924,0.9917780061664954,0.9691358024691358,0.9897330595482546,0.0073756610733999575,0.007366369986936045,0.012325169493982172,0.001674001540228703
9,0.07813294728597005,0.005208810170491536,0.9554794520547946,0.9924663378713281,True,balanced,gini,10,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50}",3,0.946611909650924,0.9948612538540597,0.9548254620123203,0.9917780061664954,0.9650205761316872,0.9907597535934292,7.370009816086851e-07,0.007366369986936045,0.0075282469956372425,0.0017437366962735372
10,0.020835320154825848,0.0,0.9534246575342465,0.9924652826873145,True,balanced,gini,15,10,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'n_estimators': 10}",8,0.946611909650924,0.9928057553956835,0.9527720739219713,0.9907502569373073,0.9609053497942387,0.9938398357289527,0.007394653913458299,0.0,0.0058525088349876755,0.0012840860631344866
11,0.031252543131510414,0.0,0.9506849315068493,0.9945204294176863,True,balanced,gini,15,20,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'n_estimators': 20}",17,0.944558521560575,0.9958890030832477,0.9486652977412731,0.9928057553956835,0.9588477366255144,0.9948665297741273,1.5854785715150837e-06,0.0,0.00600500991270789,0.0012823008404853028
12,0.04687960942586263,0.0,0.947945205479452,0.9952059472984827,True,balanced,gini,15,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'n_estimators': 30}",24,0.9363449691991786,0.9969167523124358,0.9507186858316222,0.9948612538540597,0.9567901234567902,0.9938398357289527,3.262087419038895e-05,0.0,0.008572835351698088,0.001279573911737675
