,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.16669654846191406,0.0,0.9664383561643836,0.9767113853651604,relu,0.01,10,300,lbfgs,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'lbfgs'}",4,0.9650924024640657,0.9743062692702981,0.9691991786447639,0.9763617677286742,0.9650205761316872,0.9794661190965093,0.007374534210681302,0.0,0.001953419245929437,0.0021209568479139546
1,0.44275514284769696,0.0,0.934931506849315,0.9363066308466866,relu,0.01,10,300,adam,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'adam'}",19,0.9301848049281314,0.9373072970195272,0.944558521560575,0.9506680369989723,0.9300411522633745,0.9209445585215605,0.007362437114914351,0.0,0.006811076999211157,0.0121551715411285
2,0.20835494995117188,0.0,0.9616438356164384,0.9777387828663441,relu,0.01,20,300,lbfgs,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'lbfgs'}",8,0.9568788501026694,0.9753340184994861,0.9671457905544147,0.9773895169578622,0.9609053497942387,0.9804928131416838,0.0073652461121372975,0.0,0.004225221677196505,0.0021205000269138804
3,0.4948445161183675,0.0,0.9486301369863014,0.9578763507234694,relu,0.01,20,300,adam,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'adam'}",17,0.9383983572895277,0.9619732785200411,0.9404517453798767,0.9527235354573484,0.9670781893004116,0.9589322381930184,0.0073634478697699075,0.0,0.013058296855103298,0.0038492952119161465
4,0.239607572555542,0.0,0.9691780821917808,0.977053616713552,relu,0.01,30,300,lbfgs,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'lbfgs'}",1,0.9671457905544147,0.9743062692702981,0.9753593429158111,0.9763617677286742,0.9650205761316872,0.9804928131416838,0.007368280667212371,0.0,0.0044582646457368945,0.00257258916678022
5,0.5365001360575358,0.0,0.9575342465753425,0.961301829759425,relu,0.01,30,300,adam,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'adam'}",13,0.9507186858316222,0.9640287769784173,0.9568788501026694,0.959917780061665,0.9650205761316872,0.9599589322381931,0.0073756069065993675,0.0,0.005856104490747046,0.0019283160575633714
6,0.29169758160909015,0.0,0.9684931506849315,0.9756857465039995,relu,0.01,40,300,lbfgs,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'lbfgs'}",2,0.9753593429158111,0.9773895169578622,0.9691991786447639,0.9763617677286742,0.9609053497942387,0.973305954825462,0.007367999696580995,0.0,0.0059209108630948375,0.0017342862978665214
7,0.5886188348134359,0.0,0.9527397260273973,0.9623299307166177,relu,0.01,40,300,adam,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': 40, 'max_iter': 300, 'solver': 'adam'}",16,0.9425051334702259,0.9640287769784173,0.9548254620123203,0.9640287769784173,0.9609053497942387,0.9589322381930184,0.007344566275290418,0.0,0.007654148680886226,0.0024025314238238474
8,0.1666839917500814,0.0,0.9643835616438357,0.9722602674680437,relu,0.1,10,300,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'lbfgs'}",7,0.9691991786447639,0.9722507708119219,0.9671457905544147,0.9722507708119219,0.9567901234567902,0.9722792607802875,0.00736766252179435,0.0,0.005429011637437149,1.3430299884725454e-05
9,0.44276944796244305,0.005208889643351237,0.9226027397260274,0.9311597949566425,relu,0.1,10,300,adam,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 300, 'solver': 'adam'}",23,0.9055441478439425,0.9177800616649537,0.9158110882956879,0.9311408016443987,0.9465020576131687,0.944558521560575,0.007385364176927309,0.007366482378532073,0.017394903011816818,0.010932268723212062
10,0.2083409627278646,0.0,0.9650684931506849,0.9773969032459572,relu,0.1,20,300,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'lbfgs'}",6,0.9671457905544147,0.9763617677286742,0.9691991786447639,0.9773895169578622,0.9588477366255144,0.9784394250513347,0.007346139499650816,0.0,0.004473521002440955,0.0008482161302954512
11,0.48963475227355957,0.00520936648050944,0.9472602739726027,0.9568507118623084,relu,0.1,20,300,adam,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 20, 'max_iter': 300, 'solver': 'adam'}",18,0.944558521560575,0.9609455292908531,0.9425051334702259,0.9568345323741008,0.9547325102880658,0.9527720739219713,0.007362111711382101,0.007367156728108248,0.005344440861044436,0.003336818794266451
12,0.25002630551656085,0.0,0.9657534246575342,0.9777391345943487,relu,0.1,30,300,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 30, 'max_iter': 300, 'solver': 'lbfgs'}",5,0.973305954825462,0.9763617677286742,0.9650924024640657,0.9773895169578622,0.9588477366255144,0.9794661190965093,1.1239159602905075e-07,0.0,0.005920029025422948,0.0012912329308459535
